# Geodesic pattern 24 class 2 npts 17282 area_per_point= 2.3870 
# From geodesic_tiling_pattern_npts17282.txt
# http://www.mpe.mpg.de/~4most/4FS/geodesic_pattern_list.html
# As adopted by BLISS and DeCALS
# RA            DEC
174.195823  -29.952171
177.071199  -30.867190
303.856330    1.553228
305.998330    3.104290
308.146620    4.651009
310.304347    6.191190
312.474658    7.722609
314.660703    9.243003
316.865626   10.750062
319.092565   12.241417
321.344645   13.714636
323.624964   15.167213
325.936588   16.596560
328.282526   18.000000
330.665714   19.374764
333.088988   20.717986
335.555054   22.026697
338.066450   23.297828
340.625501   24.528214
343.234279   25.714593
345.894538   26.853620
348.607663   27.941879
351.374608   28.975897
354.195823   29.952171
357.071199   30.867190
303.856330   -1.553228
305.998330   -3.104290
308.146620   -4.651009
310.304347   -6.191190
312.474658   -7.722609
314.660703   -9.243003
316.865626  -10.750062
319.092565  -12.241417
321.344645  -13.714636
323.624964  -15.167213
325.936588  -16.596560
328.282526  -18.000000
330.665714  -19.374764
333.088988  -20.717986
335.555054  -22.026697
338.066450  -23.297828
340.625501  -24.528214
343.234279  -25.714593
345.894538  -26.853620
348.607663  -27.941879
351.374608  -28.975897
354.195823  -29.952171
357.071199  -30.867190
 56.143670    1.553228
 54.001670    3.104290
 51.853380    4.651009
 49.695653    6.191190
 47.525342    7.722609
 45.339297    9.243003
 43.134374   10.750062
 40.907435   12.241417
 38.655355   13.714636
 36.375036   15.167213
 34.063412   16.596560
 31.717474   18.000000
 29.334286   19.374764
 26.911012   20.717986
 24.444945   22.026697
 21.933550   23.297828
 19.374499   24.528214
 16.765721   25.714593
 14.105462   26.853620
 11.392337   27.941879
  8.625393   28.975897
  5.804177   29.952171
  2.928801   30.867190
 56.143670   -1.553228
 54.001670   -3.104290
 51.853380   -4.651009
 49.695653   -6.191190
 47.525342   -7.722609
 45.339297   -9.243003
 43.134374  -10.750062
 40.907435  -12.241417
 38.655355  -13.714636
 36.375036  -15.167213
 34.063412  -16.596560
 31.717474  -18.000000
 29.334286  -19.374764
 26.911012  -20.717986
 24.444945  -22.026697
 21.933550  -23.297828
 19.374499  -24.528214
 16.765721  -25.714593
 14.105462  -26.853620
 11.392337  -27.941879
  8.625393  -28.975897
  5.804177  -29.952171
  2.928801  -30.867190
180.000000   29.074351
180.000000   26.431229
180.000000   23.788106
180.000000   21.144983
180.000000   18.501860
180.000000   15.858737
180.000000   13.215614
180.000000   10.572491
180.000000    7.929369
180.000000    5.286246
180.000000    2.643123
180.000000    0.000000
180.000000   -2.643123
180.000000   -5.286246
180.000000   -7.929369
180.000000  -10.572491
180.000000  -13.215614
180.000000  -15.858737
180.000000  -18.501860
180.000000  -21.144983
180.000000  -23.788106
180.000000  -26.431229
180.000000  -29.074351
  0.000000   29.074351
  0.000000   26.431229
  0.000000   23.788106
  0.000000   21.144983
  0.000000   18.501860
  0.000000   15.858737
  0.000000   13.215614
  0.000000   10.572491
  0.000000    7.929369
  0.000000    5.286246
  0.000000    2.643123
  0.000000    0.000000
  0.000000   -2.643123
  0.000000   -5.286246
  0.000000   -7.929369
  0.000000  -10.572491
  0.000000  -13.215614
  0.000000  -15.858737
  0.000000  -18.501860
  0.000000  -21.144983
  0.000000  -23.788106
  0.000000  -26.431229
  0.000000  -29.074351
271.652867  -59.429187
273.432667  -60.560919
271.812204  -62.082663
276.756009  -60.097893
275.353751  -61.674851
273.779453  -63.222438
272.005596  -64.736478
278.767874  -61.166685
277.431976  -62.767542
275.920784  -64.341276
274.203854  -65.883906
272.244759  -67.390519
282.038372  -60.564367
280.935952  -62.210445
279.684690  -63.834887
278.257365  -65.434718
276.620766  -67.006242
274.734199  -68.544827
272.547696  -70.044613
284.275529  -61.558268
283.275489  -63.224769
282.130611  -64.872028
280.812415  -66.497416
279.285416  -68.097626
277.505039  -69.668442
275.414923  -71.204429
272.943510  -72.698491
287.440448  -60.818580
286.678360  -62.519057
285.802373  -64.204536
284.789519  -65.873255
283.610902  -67.523004
282.229737  -69.150967
280.598622  -70.753500
278.655758  -72.325807
276.319726  -73.861464
273.482422  -75.351709
289.884987  -61.726209
289.259819  -63.441484
288.532681  -65.143842
287.681705  -66.831909
286.678881  -68.503952
285.487777  -70.157743
284.060219  -71.790356
282.331400  -73.397864
280.212577  -74.974870
277.580096  -76.513756
274.259052  -78.003468
292.892684  -60.854706
292.497526  -62.592255
292.032341  -64.319601
291.481982  -66.035943
290.827059  -67.740306
290.042308  -69.431461
289.094179  -71.107823
287.937173  -72.767296
286.508138  -74.407023
284.717129  -76.022984
282.432375  -77.609315
279.454896  -79.157098
275.475093  -80.652126
295.516165  -61.666066
295.287155  -63.410858
295.007107  -65.146751
294.664334  -66.873232
294.243689  -68.589689
293.725131  -70.295371
293.081536  -71.989326
292.275240  -73.670301
291.252390  -75.336593
289.933315  -76.985778
288.195340  -78.614239
285.840410  -80.216241
282.530314  -81.782032
277.649064  -83.293542
298.321071  -60.671733
298.302131  -62.427528
298.261222  -64.175575
298.193067  -65.915585
298.090925  -67.647254
297.945992  -69.370245
297.746491  -71.084178
297.476241  -72.788601
297.112328  -74.482957
296.621140  -76.166536
295.951253  -77.838372
295.019857  -79.497071
293.684687  -81.140437
291.679880  -82.764619
288.448755  -84.361835
282.623562  -85.913058
301.086806  -61.378909
301.254748  -63.132958
301.424468  -64.879439
301.595737  -66.618125
301.768354  -68.348793
301.942142  -70.071218
302.116950  -71.785170
302.292654  -73.490407
302.469149  -75.186674
302.646356  -76.873702
302.824212  -78.551202
303.002675  -80.218870
303.181719  -81.876390
303.361332  -83.523430
303.541515  -85.159652
303.722279  -86.784713
303.903647  -88.398274
303.653656  -60.273567
304.002167  -62.028577
304.375456  -63.775839
304.778029  -65.515047
305.215795  -67.245894
305.696612  -68.968048
306.231102  -70.681148
306.833927  -72.384770
307.525841  -74.078406
308.337151  -75.761407
309.313824  -77.432909
310.528958  -79.091674
312.105966  -80.735789
314.270079  -82.361970
317.477608  -83.963816
322.797954  -85.526468
333.312157  -87.005710
  0.000000  -88.214710
 56.096353  -88.398274
306.520232  -60.871185
307.066114  -62.614707
307.662184  -64.349388
308.318367  -66.074718
309.047592  -67.790123
309.866955  -69.494923
310.799494  -71.188284
311.876924  -72.869136
313.144034  -74.536052
314.666012  -76.187041
316.541179  -77.819195
318.924297  -79.428029
322.071652  -81.006166
326.433722  -82.540512
332.855709  -84.005616
343.006769  -85.346704
  0.000000  -86.436247
 26.687843  -87.005710
 56.277721  -86.784713
 77.376438  -85.913058
308.826625  -59.668606
309.517801  -61.404841
310.274353  -63.131131
311.108590  -64.846711
312.036259  -66.550701
313.077772  -68.242046
314.259994  -69.919431
315.618913  -71.581170
317.203694  -73.225022
319.083039  -74.847912
321.355389  -76.445467
324.165777  -78.011235
327.734239  -79.535280
332.403996  -81.001585
338.719823  -82.383088
347.531101  -83.632231
  0.000000  -84.664993
 16.993231  -85.346704
 37.202046  -85.526468
 56.458485  -85.159652
 71.551245  -84.361835
 82.350936  -83.293542
311.751849  -60.153980
312.640616  -61.868959
313.618815  -63.571699
314.703413  -65.261007
315.915977  -66.935454
317.284264  -68.593273
318.844475  -70.232226
320.644529  -71.849391
322.748861  -73.440860
325.245548  -75.001263
328.256924  -76.523027
331.955221  -77.995170
336.584510  -79.401333
342.487044  -80.716591
350.118923  -81.902566
  0.000000  -82.901285
 12.468899  -83.632231
 27.144291  -84.005616
 42.522391  -83.963816
 56.638668  -83.523430
 68.320120  -82.764619
 77.469686  -81.782032
 84.524907  -80.652126
313.788732  -58.868895
314.785859  -60.570383
315.879671  -62.258069
317.087287  -63.930467
318.430061  -65.585815
319.934885  -67.221964
321.635963  -68.836230
323.577253  -70.425190
325.815817  -71.984384
328.426420  -73.507885
331.507718  -74.987669
335.190161  -76.412678
339.644934  -77.767447
345.090640  -79.030157
351.787996  -80.170136
  0.000000  -81.145425
  9.881077  -81.902566
 21.280178  -82.383088
 33.566278  -82.540512
 45.729921  -82.361970
 56.818281  -81.876390
 66.315313  -81.140437
 74.159590  -80.216241
 80.545104  -79.157098
 85.740948  -78.003468
316.733151  -59.241880
317.919262  -60.912954
319.222522  -62.566976
320.663261  -64.201904
322.266568  -65.815283
324.063611  -67.404104
326.093368  -68.964609
328.404851  -70.492024
331.059917  -71.980199
334.136640  -73.421096
337.732969  -74.804104
341.969684  -76.115111
346.990196  -77.335340
352.951926  -78.440069
  0.000000  -79.397681
  8.212004  -80.170136
 17.512956  -80.716591
 27.596004  -81.001585
 37.928348  -81.006166
 47.894034  -80.735789
 56.997325  -80.218870
 64.980143  -79.497071
 71.804660  -78.614239
 77.567625  -77.609315
 82.419905  -76.513756
 86.517578  -75.351709
318.503472  -57.889034
319.762857  -59.542423
321.139838  -61.177149
