# Geodesic pattern 30 class 2 npts 27002 area_per_point= 1.528
# From geodesic_tiling_pattern_npts27002.txt
# As generated using instruction from http://www.mpe.mpg.de/~4most/4FS/geodesic_pattern_list.html
# Further instructions on generation are available at: https://github.com/SSantosLab/desgw-map/wiki/DECam-Tiling-for-HSC
# RA            DEC
 73.982400  -39.788100
 72.905700  -37.847000
 71.884400  -35.896700
 70.912400  -33.938200
 69.984100  -31.972300
 69.094800  -30.000000
 68.240300  -28.021900
 67.416700  -26.038800
 66.620400  -24.051100
 65.848500  -22.059400
 65.098100  -20.064300
 64.366500  -18.066000
 63.651500  -16.065000
 62.950600  -14.061700
 62.262000  -12.056500
 61.583500  -10.049500
 60.913500   -8.041220
 60.250000   -6.031840
 59.591500   -4.021670
 58.936200   -2.010960
 93.892900  -58.877700
 97.907900  -59.352000
102.021000  -59.699700
106.204000  -59.916300
110.426000  -59.999100
114.650000  -59.946900
118.845000  -59.760400
122.977000  -59.442100
127.017000  -58.996100
130.939000  -58.427800
134.724000  -57.743800
138.358000  -56.951200
141.832000  -56.057900
145.140000  -55.071600
148.283000  -54.000000
151.262000  -52.850700
154.083000  -51.630700
156.752000  -50.346800
159.278000  -49.005000
161.669000  -47.611000
163.933000  -46.169900
166.081000  -44.686400
168.119000  -43.164700
170.058000  -41.608600
171.904000  -40.021500
173.666000  -38.406400
175.350000  -36.766100
176.963000  -35.103100
178.511000  -33.419500
 86.107100  -58.877700
 82.092100  -59.352000
 77.978800  -59.699700
 73.795600  -59.916300
 69.574500  -59.999100
 65.349500  -59.946900
 61.154800  -59.760400
 57.023000  -59.442100
 52.983400  -58.996100
 49.061000  -58.427800
 45.275600  -57.743800
 41.641500  -56.951200
 38.168100  -56.057900
 34.859900  -55.071600
 31.717500  -54.000000
 28.738300  -52.850700
 25.917400  -51.630700
 23.247900  -50.346800
 20.722100  -49.005000
 18.331300  -47.611000
 16.066700  -46.169900
 13.919400  -44.686400
 11.880600  -43.164700
  9.942090  -41.608600
  8.095760  -40.021500
  6.334100  -38.406400
  4.650050  -36.766100
  3.037030  -35.103100
  1.488900  -33.419500
240.397000    0.000000
242.512000    0.000000
244.626000    0.000000
246.741000    0.000000
248.855000    0.000000
250.970000    0.000000
253.084000    0.000000
255.199000    0.000000
257.313000    0.000000
259.428000    0.000000
261.542000    0.000000
263.657000    0.000000
265.771000    0.000000
267.886000    0.000000
270.000000    0.000000
272.114000    0.000000
274.229000    0.000000
276.343000    0.000000
278.458000    0.000000
280.572000    0.000000
282.687000    0.000000
284.801000    0.000000
286.916000    0.000000
289.030000    0.000000
291.145000    0.000000
293.259000    0.000000
295.374000    0.000000
297.488000    0.000000
299.603000    0.000000
236.572000    1.242690
234.859000    2.484260
233.143000    3.723620
231.423000    4.959640
229.696000    6.191190
227.961000    7.417130
226.216000    8.636320
224.460000    9.847560
222.691000   11.049700
220.907000   12.241400
219.108000   13.421600
217.291000   14.588800
215.454000   15.741900
213.597000   16.879400
211.717000   18.000000
209.814000   19.102200
207.885000   20.184700
205.930000   21.245800
203.946000   22.284000
201.934000   23.297800
199.890000   24.285600
197.815000   25.245500
195.708000   26.176100
193.567000   27.075400
191.392000   27.941900
189.183000   28.773600
186.939000   29.568800
184.660000   30.325700
182.347000   31.042500
236.572000   -1.242690
234.859000   -2.484260
233.143000   -3.723620
231.423000   -4.959640
229.696000   -6.191190
227.961000   -7.417130
226.216000   -8.636320
224.460000   -9.847560
222.691000  -11.049700
220.907000  -12.241400
219.108000  -13.421600
217.291000  -14.588800
215.454000  -15.741900
213.597000  -16.879400
211.717000  -18.000000
209.814000  -19.102200
207.885000  -20.184700
205.930000  -21.245800
203.946000  -22.284000
201.934000  -23.297800
199.890000  -24.285600
197.815000  -25.245500
195.708000  -26.176100
193.567000  -27.075400
191.392000  -27.941900
189.183000  -28.773600
186.939000  -29.568800
184.660000  -30.325700
182.347000  -31.042500
119.603000    0.000000
117.488000    0.000000
115.374000    0.000000
113.259000    0.000000
111.145000    0.000000
109.030000    0.000000
106.916000    0.000000
104.801000    0.000000
102.687000    0.000000
100.572000    0.000000
 98.458000    0.000000
 96.343500    0.000000
 94.229000    0.000000
 92.114500    0.000000
 90.000000    0.000000
 87.885500    0.000000
 85.771000    0.000000
 83.656500    0.000000
 81.542000    0.000000
 79.427500    0.000000
 77.313000    0.000000
 75.198500    0.000000
 73.084000    0.000000
 70.969500    0.000000
 68.855000    0.000000
 66.740500    0.000000
 64.626000    0.000000
 62.511500    0.000000
 60.397000    0.000000
123.428000    1.242690
125.141000    2.484260
126.857000    3.723620
128.577000    4.959640
130.304000    6.191190
132.039000    7.417130
133.784000    8.636320
135.540000    9.847560
137.309000   11.049700
139.093000   12.241400
140.892000   13.421600
142.709000   14.588800
144.546000   15.741900
146.403000   16.879400
148.283000   18.000000
150.186000   19.102200
152.115000   20.184700
154.070000   21.245800
156.054000   22.284000
158.066000   23.297800
160.110000   24.285600
162.185000   25.245500
164.292000   26.176100
166.433000   27.075400
168.608000   27.941900
170.817000   28.773600
173.061000   29.568800
175.340000   30.325700
177.653000   31.042500
123.428000   -1.242690
125.141000   -2.484260
126.857000   -3.723620
128.577000   -4.959640
130.304000   -6.191190
132.039000   -7.417130
133.784000   -8.636320
135.540000   -9.847560
137.309000  -11.049700
139.093000  -12.241400
140.892000  -13.421600
142.709000  -14.588800
144.546000  -15.741900
146.403000  -16.879400
148.283000  -18.000000
150.186000  -19.102200
152.115000  -20.184700
154.070000  -21.245800
156.054000  -22.284000
158.066000  -23.297800
160.110000  -24.285600
162.185000  -25.245500
164.292000  -26.176100
166.433000  -27.075400
168.608000  -27.941900
170.817000  -28.773600
173.061000  -29.568800
175.340000  -30.325700
177.653000  -31.042500
303.428000    1.242690
305.141000    2.484260
306.857000    3.723620
308.577000    4.959640
310.304000    6.191190
312.039000    7.417130
313.784000    8.636320
315.540000    9.847560
317.309000   11.049700
319.093000   12.241400
320.892000   13.421600
322.709000   14.588800
324.546000   15.741900
326.403000   16.879400
328.283000   18.000000
330.186000   19.102200
332.115000   20.184700
334.070000   21.245800
336.054000   22.284000
338.066000   23.297800
340.110000   24.285600
342.185000   25.245500
344.292000   26.176100
346.433000   27.075400
348.608000   27.941900
350.817000   28.773600
353.061000   29.568800
355.340000   30.325700
357.653000   31.042500
303.428000   -1.242690
305.141000   -2.484260
306.857000   -3.723620
308.577000   -4.959640
310.304000   -6.191190
312.039000   -7.417130
313.784000   -8.636320
315.540000   -9.847560
317.309000  -11.049700
319.093000  -12.241400
320.892000  -13.421600
322.709000  -14.588800
324.546000  -15.741900
326.403000  -16.879400
328.283000  -18.000000
330.186000  -19.102200
332.115000  -20.184700
334.070000  -21.245800
336.054000  -22.284000
338.066000  -23.297800
340.110000  -24.285600
342.185000  -25.245500
344.292000  -26.176100
346.433000  -27.075400
348.608000  -27.941900
350.817000  -28.773600
353.061000  -29.568800
355.340000  -30.325700
357.653000  -31.042500
 56.571600    1.242690
 54.859000    2.484260
 53.143300    3.723620
 51.422700    4.959640
 49.695700    6.191190
 47.960600    7.417130
 46.215800    8.636320
 44.459800    9.847560
 42.690800   11.049700
 40.907400   12.241400
 39.107900   13.421600
 37.290700   14.588800
 35.454300   15.741900
 33.597100   16.879400
 31.717500   18.000000
 29.814000   19.102200
 27.885300   20.184700
 25.929900   21.245800
 23.946400   22.284000
 21.933600   23.297800
 19.890200   24.285600
 17.815300   25.245500
 15.707900   26.176100
 13.567100   27.075400
 11.392300   27.941900
  9.183120   28.773600
  6.939180   29.568800
  4.660500   30.325700
  2.347280   31.042500
 56.571600   -1.242690
 54.859000   -2.484260
 53.143300   -3.723620
 51.422700   -4.959640
 49.695700   -6.191190
 47.960600   -7.417130
 46.215800   -8.636320
 44.459800   -9.847560
 42.690800  -11.049700
 40.907400  -12.241400
 39.107900  -13.421600
 37.290700  -14.588800
 35.454300  -15.741900
 33.597100  -16.879400
 31.717500  -18.000000
 29.814000  -19.102200
 27.885300  -20.184700
 25.929900  -21.245800
 23.946400  -22.284000
 21.933600  -23.297800
 19.890200  -24.285600
 17.815300  -25.245500
 15.707900  -26.176100
 13.567100  -27.075400
 11.392300  -27.941900
  9.183120  -28.773600
  6.939180  -29.568800
  4.660500  -30.325700
  2.347280  -31.042500
180.000000   29.603000
180.000000   27.488500
180.000000   25.374000
180.000000   23.259500
180.000000   21.145000
180.000000   19.030500
180.000000   16.916000
180.000000   14.801500
180.000000   12.687000
180.000000   10.572500
180.000000    8.457990
180.000000    6.343490
180.000000    4.229000
180.000000    2.114500
180.000000    0.000000
180.000000   -2.114500
180.000000   -4.229000
180.000000   -6.343490
180.000000   -8.457990
180.000000  -10.572500
180.000000  -12.687000
180.000000  -14.801500
180.000000  -16.916000
180.000000  -19.030500
180.000000  -21.145000
180.000000  -23.259500
180.000000  -25.374000
180.000000  -27.488500
180.000000  -29.603000
  0.000000   29.603000
  0.000000   27.488500
  0.000000   25.374000
  0.000000   23.259500
  0.000000   21.145000
  0.000000   19.030500
  0.000000   16.916000
  0.000000   14.801500
  0.000000   12.687000
  0.000000   10.572500
  0.000000    8.457990
  0.000000    6.343490
  0.000000    4.229000
  0.000000    2.114500
  0.000000    0.000000
  0.000000   -2.114500
  0.000000   -4.229000
  0.000000   -6.343490
  0.000000   -8.457990
  0.000000  -10.572500
  0.000000  -12.687000
  0.000000  -14.801500
  0.000000  -16.916000
  0.000000  -19.030500
  0.000000  -21.145000
  0.000000  -23.259500
  0.000000  -25.374000
  0.000000  -27.488500
  0.000000  -29.603000
271.313000  -59.201000
272.705000  -60.110200
271.411000  -61.322200
275.343000  -59.761000
274.183000  -61.008800
272.915000  -62.237100
271.525000  -63.443600
276.881000  -60.632000
275.756000  -61.895200
274.521000  -63.140000
273.161000  -64.364100
271.660000  -65.565300
279.496000  -60.194500
278.513000  -61.488900
277.432000  -62.767500
276.238000  -64.028900
274.917000  -65.270900
273.452000  -66.491200
271.820000  -67.687000
281.178000  -61.021300
280.248000  -62.329700
279.219000  -63.623700
278.078000  -64.901600
276.808000  -66.161500
275.389000  -67.401200
273.800000  -68.618100
272.014000  -69.808800
283.743000  -60.495900
282.960000  -61.830100
282.093000  -63.152200
281.128000  -64.461100
280.051000  -65.755300
278.845000  -67.033100
277.490000  -68.292400
275.960000  -69.530600
274.226000  -70.744600
272.254000  -71.930600
285.563000  -61.272500
284.850000  -62.618600
284.056000  -63.953900
283.167000  -65.277200
282.170000  -66.587200
281.045000  -67.882500
279.770000  -69.161000
278.321000  -70.420500
276.663000  -71.658100
274.758000  -72.870200
272.557000  -74.052300
288.052000  -60.660800
287.487000  -62.027000
286.855000  -63.384200
286.147000  -64.731800
285.349000  -66.068600
284.446000  -67.393700
283.421000  -68.705800
282.250000  -70.003000
280.906000  -71.283500
279.354000  -72.544600
277.550000  -73.783000
275.440000  -74.994500
272.953000  -76.173600
289.999000  -61.381700
289.521000  -62.756900
288.982000  -64.124000
288.373000  -65.482600
287.682000  -66.831900
286.893000  -68.170900
285.990000  -69.498600
284.948000  -70.813500
283.741000  -72.114000
282.331000  -73.397900
280.673000  -74.662200
278.705000  -75.903400
276.346000  -77.116300
273.492000  -78.294200
292.387000  -60.687000
292.052000  -62.076300
291.671000  -63.459100
291.238000  -64.834800
290.744000  -66.203000
290.177000  -67.563100
289.523000  -68.914300
288.767000  -70.256000
287.886000  -71.586900
286.852000  -72.905800
285.629000  -74.211000
284.171000  -75.500100
282.412000  -76.770000
280.266000  -78.016700
277.609000  -79.234000
274.269000  -80.413500
294.448000  -61.347200
294.214000  -62.741800
293.943000  -64.130400
293.630000  -65.512900
293.267000  -66.888700
292.843000  -68.257600
292.349000  -69.619000
291.768000  -70.972400
291.081000  -72.316900
290.264000  -73.651700
289.283000  -74.975500
288.092000  -76.286800
286.630000  -77.583200
284.807000  -78.861800
282.492000  -80.117800
279.487000  -81.344300
275.486000  -82.530100
296.711000  -60.573800
296.611000  -61.977000
296.489000  -63.374900
296.341000  -64.767500
296.162000  -66.154500
295.948000  -67.535700
295.690000  -68.910800
295.379000  -70.279500
295.005000  -71.641400
294.552000  -72.996200
294.000000  -74.343200
293.322000  -75.681800
292.482000  -77.010900
291.424000  -78.329400
290.070000  -79.635300
288.298000  -80.925800
285.909000  -82.196500
282.568000  -83.439600
277.662000  -84.640900
298.867000  -61.169300
298.879000  -62.573300
298.880000  -63.972400
298.868000  -65.366500
298.840000  -66.755500
298.792000  -68.139100
298.722000  -69.517200
298.622000  -70.889600
298.488000  -72.256200
298.311000  -73.616800
298.078000  -74.971000
297.773000  -76.318600
297.375000  -77.659100
296.849000  -78.992200
296.143000  -80.317000
295.176000  -81.632500
293.805000  -82.937200
291.764000  -84.227900
288.498000  -85.498500
282.642000  -86.734000
300.987000  -60.322900
301.120000  -61.730300
301.255000  -63.133000
301.390000  -64.530800
301.527000  -65.923600
301.665000  -67.311400
301.803000  -68.693900
301.942000  -70.071200
302.082000  -71.443100
302.222000  -72.809400
302.363000  -74.170000
302.505000  -75.524800
302.646000  -76.873700
302.789000  -78.216500
302.931000  -79.553000
303.074000  -80.883100
303.218000  -82.206600
303.361000  -83.523400
303.505000  -84.833300
303.650000  -86.136000
303.795000  -87.431500
303.940000  -88.719600
303.218000  -60.850400
303.472000  -62.254000
303.738000  -63.652600
304.019000  -65.046200
304.318000  -66.434500
304.637000  -67.817600
304.979000  -69.195100
305.350000  -70.567000
305.756000  -71.933100
306.204000  -73.293100
306.705000  -74.646800
307.274000  -75.993900
307.932000  -77.334100
308.709000  -78.667000
309.650000  -79.991800
310.830000  -81.307700
312.371000  -82.613100
314.499000  -83.905700
317.667000  -85.180300
322.945000  -86.425100
333.404000  -87.605100
  0.000000  -88.571200
 56.060000  -88.719600
305.181000  -59.937800
305.539000  -61.340000
305.920000  -62.737000
306.328000  -64.128700
306.766000  -65.514800
307.239000  -66.895100
307.753000  -68.269400
308.317000  -69.637300
308.940000  -70.998500
309.636000  -72.352700
310.421000  -73.699400
311.319000  -75.037900
312.361000  -76.367400
313.592000  -77.686900
315.077000  -78.994900
316.914000  -80.289000
319.257000  -81.565800
322.361000  -82.819500
326.674000  -84.039700
333.038000  -85.206200
343.111000  -86.275700
  0.000000  -87.146800
 26.595800  -87.605100
 56.205200  -87.431500
 77.358500  -86.734000
307.467000  -60.395200
307.949000  -61.788700
308.465000  -63.176300
309.022000  -64.557800
309.626000  -65.932900
310.284000  -67.301100
311.007000  -68.662000
311.807000  -70.015100
312.699000  -71.359800
313.705000  -72.695300
314.850000  -74.020600
316.171000  -75.334500
317.717000  -76.635200
319.555000  -77.920300
321.784000  -79.186400
324.548000  -80.428500
328.065000  -81.638700
332.675000  -82.804400
338.918000  -83.904200
347.640000  -84.900600
  0.000000  -85.726900
 16.888500  -86.275700
 37.055100  -86.425100
 56.350100  -86.136000
 71.501600  -85.498500
 82.338300  -84.640900
309.264000  -59.423300
309.833000  -60.811600
310.444000  -62.193500
311.102000  -63.568600
311.816000  -64.936400
312.594000  -66.296500
313.447000  -67.648100
314.389000  -68.990700
315.435000  -70.323400
316.609000  -71.645100
317.938000  -72.954500
319.456000  -74.249900
321.213000  -75.528900
323.271000  -76.788700
325.719000  -78.024900
328.676000  -79.231700
332.314000  -80.400400
336.874000  -81.518200
342.694000  -82.565500
350.229000  -83.511900
360.000000  -84.311600
 12.360200  -84.900600
 26.962400  -85.206200
 42.332600  -85.180300
 56.494600  -84.833300
 68.235500  -84.227900
 77.431800  -83.439600
 84.514300  -82.530100
311.584000  -59.809600
312.275000  -61.184400
313.020000  -62.551600
313.827000  -63.910700
314.703000  -65.261000
315.662000  -66.601800
316.716000  -67.932300
317.883000  -69.251300
319.184000  -70.557500
320.645000  -71.849400
322.300000  -73.124900
324.193000  -74.381300
326.380000  -75.615100
328.935000  -76.821900
331.955000  -77.995200
335.569000  -79.126400
339.947000  -80.203500
345.303000  -81.209200
351.899000  -82.119600
360.000000  -82.901300
  9.770770  -83.511900
 21.081700  -83.904200
 33.325800  -84.039700
 45.501500  -83.905700
 56.638700  -83.523400
 66.195000  -82.937200
 74.090800  -82.196500
 80.513100  -81.344300
 85.731100  -80.413500
313.211000  -58.786000
313.972000  -60.152500
314.790000  -61.510700
315.674000  -62.860000
316.631000  -64.199400
317.675000  -65.528300
318.818000  -66.845500
320.077000  -68.149800
321.471000  -69.439700
323.027000  -70.713300
324.773000  -71.968400
326.750000  -73.202000
329.004000  -74.410600
331.597000  -75.589200
334.606000  -76.731700
338.127000  -77.829700
342.280000  -78.872300
347.206000  -79.844700
353.064000  -80.727600
360.000000  -81.496000
  8.100810  -82.119600
 17.305600  -82.565500
 27.325400  -82.804400
 37.639300  -82.819500
 47.628700  -82.613100
 56.782400  -82.206600
 64.823900  -81.632500
 71.702400  -80.925800
 77.508400  -80.117800
 82.391300  -79.234000
 86.508100  -78.294200
315.545000  -59.101100
316.424000  -60.449500
317.372000  -61.788000
318.396000  -63.115900
319.508000  -64.432000
320.720000  -65.735300
322.049000  -67.024300
323.512000  -68.297400
325.132000  -69.552600
326.936000  -70.787400
328.959000  -71.998800
331.239000  -73.183100
333.828000  -74.335500
336.785000  -75.449900
340.183000  -76.518600
344.107000  -77.531800
348.653000  -78.476900
353.921000  -79.338000
360.000000  -80.095800
  6.936270  -80.727600
 14.696700  -81.209200
 23.126200  -81.518200
 31.935400  -81.638700
 40.743400  -81.565800
 49.169800  -81.307700
 56.925800  -80.883100
 63.856800  -80.317000
 69.930000  -79.635300
 75.193100  -78.861800
 79.734300  -78.016700
